MariaDB [akent13]> source Lab2_select.sql
+---------+----------------------------------+---------+
| ClassID | Description                      | Credits |
+---------+----------------------------------+---------+
| BA101   | Introduction to Accounting       |       3 |
| BA102   | Accounting 2                     |       3 |
| CS160   | Introduction to Computer Science |       4 |
| CS161   | More Intro to Computer Science   |       4 |
| CS200   | Data Structures                  |       4 |
| CS220   | Intro to C                       |       4 |
| CS253   | Intro to C++                     |       4 |
| CS270   | Systems Architecture             |       3 |
| CS370   | Systems Software, CS270          |       3 |
| CS420   | Intro to Algorithms, M161        |       4 |
| CS430   | Intro to Database Theory         |       3 |
| CS451   | Intro to Operating Systems       |       3 |
| M160    | Calculus 1                       |       5 |
| M161    | Calculus 2                       |       4 |
| M200    | Relational Algebra               |       3 |
| M201    | Linear Algebra                   |       3 |
+---------+----------------------------------+---------+
16 rows in set (0.00 sec)

+-----------+-----------+------------+------------+-------+
| StudentID | FirstName | LastName   | DOB        | Major |
+-----------+-----------+------------+------------+-------+
|      1800 | Dworkin   | Barimen    | 1950-12-02 | PS    |
|      1100 | Bugs      | Bunny      | 1990-06-24 | BA    |
|      2001 | Art       | Clark      | 2001-12-06 | CS    |
|      1700 | Amber     | Corwin     | 1970-12-01 | PS    |
|      1000 | Wiley     | Coyote     | 1961-09-10 | CS    |
|      2000 | Pol       | Gara       | 1963-01-01 | CS    |
|      1900 | Bel       | Garion     | 1983-01-01 | CS    |
|      1500 | Larry     | Lujack     | 1940-06-06 | JT    |
|      1200 | Olive     | Oyl        | 1989-07-19 | CIS   |
|      1400 | Roger     | Ramjet     | 1985-01-13 | CD    |
|      1600 | Thomas    | Tankengine | 1991-04-01 | CS    |
|      1300 | Alice     | Wonderland | 1989-07-19 | PH    |
+-----------+-----------+------------+------------+-------+
12 rows in set (0.00 sec)

+---------+-------+----------+----------+--------+------------+----------+------+------+------+------+------+
| ClassID | SecNo | Semester | Building | RoomNo | Start_Time | End_Time | M    | T    | W    | TH   | F    |
+---------+-------+----------+----------+--------+------------+----------+------+------+------+------+------+
| CS160   |     1 | FA11     | CSB      |    130 | 08:00:00   | 08:50:00 | 1    | 0    | 1    | 0    | 1    |
| CS160   |     2 | FA11     | CSB      |    130 | 10:00:00   | 11:15:00 | 0    | 1    | 0    | 1    | 0    |
| CS161   |     1 | FA11     | CSB      |    130 | 12:00:00   | 12:50:00 | 1    | 0    | 1    | 0    | 1    |
| CS161   |     2 | FA11     | CSB      |    130 | 12:00:00   | 13:15:00 | 0    | 1    | 0    | 1    | 0    |
| CS200   |     1 | FA11     | CSB      |    225 | 10:00:00   | 11:15:00 | 0    | 1    | 0    | 1    | 0    |
| CS220   |     1 | FA11     | CSB      |    325 | 15:00:00   | 15:15:00 | 0    | 1    | 0    | 1    | 0    |
| CS253   |     1 | FA11     | CSB      |    325 | 08:00:00   | 09:15:00 | 0    | 1    | 0    | 1    | 0    |
| CS270   |     1 | FA11     | CSB      |    130 | 13:00:00   | 13:50:00 | 1    | 0    | 1    | 0    | 1    |
| CS370   |     1 | FA11     | CSB      |    425 | 14:00:00   | 15:15:00 | 0    | 1    | 0    | 1    | 0    |
| CS420   |     1 | FA11     | CSB      |    425 | 16:00:00   | 16:50:00 | 1    | 0    | 1    | 0    | 1    |
| CS160   |     1 | FA12     | CSB      |    130 | 08:00:00   | 08:50:00 | 1    | 0    | 1    | 0    | 1    |
| CS160   |     2 | FA12     | CSB      |    130 | 10:00:00   | 11:15:00 | 0    | 1    | 0    | 1    | 0    |
| CS161   |     1 | FA12     | CSB      |    130 | 12:00:00   | 12:50:00 | 1    | 0    | 1    | 0    | 1    |
| CS161   |     2 | FA12     | CSB      |    130 | 12:00:00   | 13:15:00 | 0    | 1    | 0    | 1    | 0    |
| CS200   |     1 | FA12     | CSB      |    225 | 10:00:00   | 11:15:00 | 0    | 1    | 0    | 1    | 0    |
